ticker,premarket_price,yesterday_close,gap_pct,rvol,premarket_rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,rsi,macd_signal,price_source,norm_gap,norm_rvol,norm_pre_rvol,norm_breakout,norm_volatility,norm_trend,premarket_momentum,rsi_factor,macd_factor,score,rsi_label,score_prev,score_trend,trend_dir,scan_time_utc,snapshot_utc
FIHL,22.61,22.61,0.0,1.07162750467114,0.0,456901,4,0.8181818181818182,0.5695003509521485,0.025187984766856374,,,prev_close,0.0,0.10678683420793744,0.10678683420793744,1.0,0.0,0.8,1.0,0.5,0.5,9.0,—,4.4637,4.536,rising,12:03:47,2026-06-10 12:03:47
EXPI,4.83,4.83,0.0,0.8089972317127155,0.0,1325332,2,0.5789470602161494,0.27649993896484376,0.05724636507917077,,,prev_close,0.0,0.08043776018502931,0.08043776018502931,0.5435008019524297,0.23948258054128022,0.4,0.7195756728510806,0.5,0.5,6.5351,—,3.3792,3.156,rising,12:03:47,2026-06-10 12:03:47
ASGN,20.52,20.52,0.0,0.7329252142203281,0.0,1066192,2,0.2941179008981368,1.3104795455932616,0.06386352418902828,,,prev_close,0.0,0.0728056346215906,0.0728056346215906,0.0,0.28891409654560557,0.4,0.6383495290411455,0.5,0.5,5.059,—,2.6213,2.438,rising,12:03:47,2026-06-10 12:03:47
AGH,5.08,5.08,0.0,0.1350815365356618,0.0,5961480,0,0.51465792682709,0.8079900979995728,0.15905317128629265,,,prev_close,0.0,0.01282539266397515,0.01282539266397515,0.4208265798417344,1.0,0.0,0.0,0.5,0.5,2.6045,—,2.6841,-0.08,steady,12:03:47,2026-06-10 12:03:47
AA,70.9117,,,0.8972150115103179,0.0,4364301,1,,3.45644293891059,,,,yf_premarket,,0.08928844134923616,0.08928844134923616,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AAL,13.8,,,1.7777776677304258,0.0,84206175,2,,0.5011112425062392,,,,yf_premarket,,0.1776332096396198,0.1776332096396198,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AAOI,163.7522,,,1.818559541530868,0.0,14689442,2,,26.55422125922309,,,,yf_premarket,,0.18172475856677206,0.18172475856677206,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AAON,126.95,,,1.0768485994460906,0.0,1071258,1,,7.715863820184189,,,,yf_premarket,,0.10731065429598786,0.10731065429598786,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AAP,59.44,,,0.8252207882947212,0.0,2196957,2,,2.531111399332682,,,,yf_premarket,,0.08206543123939317,0.08206543123939317,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AAT,24.75,,,0.7891687395087293,0.0,532883,2,,0.5305824151230011,,,,yf_premarket,,0.07844841446733973,0.07844841446733973,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ABCB,86.23,,,0.8705934249059563,0.0,408055,2,,1.4300003051757812,,,,yf_premarket,,0.08661756053970883,0.08661756053970883,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ABCL,5.0983,,,0.6692534240535083,0.0,7872971,1,,0.6355555852254232,,,,yf_premarket,,0.06641759453246426,0.06641759453246426,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ABEO,5.59,,,1.387439920824181,0.0,835709,1,,0.23444435331556532,,,,yf_premarket,,0.138471546852954,0.138471546852954,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ABEV,3.12,,,0.934165265662818,0.0,27930092,1,,0.07333331637912327,,,,yf_premarket,,0.09299557294096862,0.09299557294096862,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ABG,196.0,,,0.7504988456745143,0.0,234942,3,,5.5033315022786455,,,,yf_premarket,,0.07456875549422116,0.07456875549422116,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ABM,44.21,,,0.9079952598545344,0.0,733479,2,,0.9855550130208334,,,,yf_premarket,,0.09036999816447833,0.09036999816447833,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ABNB,130.25,,,0.8715435589957139,0.0,3695915,2,,3.852666219075521,,,,yf_premarket,,0.08671288524535187,0.08671288524535187,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ABOS,2.23,,,1.0818974633819793,0.0,292192,1,,0.13655556572808158,,,,yf_premarket,,0.10781719487137456,0.10781719487137456,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ABR,5.28,,,0.6762980276548868,0.0,4345720,2,,0.2511111365424262,,,,yf_premarket,,0.06712436294748302,0.06712436294748302,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ABSI,6.64,,,0.819757268072494,0.0,5532457,2,,0.7658889558580186,,,,yf_premarket,,0.0815172891796851,0.0815172891796851,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ABT,91.3,,,0.9532000283055371,0.0,12468231,3,,1.714445326063368,,,,yf_premarket,,0.0949052856493771,0.0949052856493771,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ABUS,4.1865,,,0.7109468863693,0.0,1508420,1,,0.1688887808057997,,,,yf_premarket,,0.0706006009789604,0.0706006009789604,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ABVX,99.74,,,0.2532188755171131,0.0,4639531,2,,8.781333923339844,,,,yf_premarket,,0.024677832425115783,0.024677832425115783,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACA,124.8,,,1.160115589391981,0.0,253691,3,,3.8840001424153647,,,,yf_premarket,,0.1156646344256751,0.1156646344256751,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACAD,21.64,,,0.9724518401063714,0.0,1135945,3,,0.5700001186794705,,,,yf_premarket,,0.09683677438638033,0.09683677438638033,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACB,3.33,,,1.029256352686745,0.0,642031,2,,0.1630000008477105,,,,yf_premarket,,0.10253583676009391,0.10253583676009391,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACCO,3.8,,,0.6927058296302955,0.0,767613,2,,0.10111122661166722,,,,yf_premarket,,0.06877051890632672,0.06877051890632672,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACEL,12.61,,,1.1060260184038753,0.0,254250,2,,0.2395554648505317,,,,yf_premarket,,0.1102379557196047,0.1102379557196047,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACGL,90.0,,,1.1904201408685577,0.0,2799815,3,,2.0633332994249134,,,,yf_premarket,,0.11870501838862273,0.11870501838862273,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACHC,26.78,,,0.921613894870348,0.0,2341076,2,,1.1111111111111112,,,,yf_premarket,,0.09173632360015818,0.09173632360015818,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACHV,5.6,,,0.8895706508967174,0.0,1335721,2,,0.41000005933973527,,,,yf_premarket,,0.08852150073193174,0.08852150073193174,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACI,15.75,,,1.2119766573790376,0.0,5752670,3,,0.38666661580403644,,,,yf_premarket,,0.12086773269726828,0.12086773269726828,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACIC,10.26,,,0.7983021974722591,0.0,316409,2,,0.27777767181396484,,,,yf_premarket,,0.07936475269923983,0.07936475269923983,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACIU,2.22,,,1.7288010170142056,0.0,332974,1,,0.16144447856479222,,,,yf_premarket,,0.17271949812959866,0.17271949812959866,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACIW,42.5,,,0.9047995725661484,0.0,825765,2,,1.506667243109809,,,,yf_premarket,,0.09004938241836791,0.09004938241836791,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACLS,158.1,,,2.266516029371326,0.0,542937,3,,8.765553792317709,,,,yf_premarket,,0.22666717333180056,0.22666717333180056,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACM,69.3177,,,0.2243196713003485,0.0,3291320,2,,2.566666497124566,,,,yf_premarket,,0.021778443628336776,0.021778443628336776,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACMR,78.3,,,0.8841184250686743,0.0,1842937,2,,7.380887349446614,,,,yf_premarket,,0.08797449181207481,0.08797449181207481,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACN,170.21,,,0.8205886829840957,0.0,5393701,1,,7.342220730251736,,,,yf_premarket,,0.08160070307101899,0.08160070307101899,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACRE,5.0,,,0.9079424754166288,0.0,395796,1,,0.11222230063544379,,,,yf_premarket,,0.09036470242668708,0.09036470242668708,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACRS,4.2,,,0.8183404737200979,0.0,1229135,1,,0.24055560429890951,,,,yf_premarket,,0.08137514555379613,0.08137514555379613,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACRV,1.436,,,0.664452167408815,0.0,371129,1,,0.08355557918548584,,,,yf_premarket,,0.0659358958108777,0.0659358958108777,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ACT,42.14,,,1.0192761503340304,0.0,324940,2,,0.8438598161935794,,,,yf_premarket,,0.10153454666663651,0.10153454666663651,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
