ticker,premarket_price,yesterday_close,gap_pct,rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,rsi,price_source,norm_rvol,norm_breakout,norm_volatility,norm_trend,rsi_score,rsi_label,norm_gap,score,score_prev,score_trend,trend_dir,scan_time_utc,snapshot_utc
AHR,55.14,55.04,0.0018,0.7218,6737840,5,0.9948,1.5442,0.0281,93.2,yf_premarket,0.07248006747936457,0.9948,0.035900870730073677,1.0,5.0,🔥 90+,0.01208865010073875,8.1344,8.1297,0.005,steady,12:47:25,2026-07-06 12:47:25
COMP,12.68,12.62,0.0048,0.8769,18386570,5,0.9531,0.6083,0.0482,94.6,yf_premarket,0.08805454581969353,0.9531,0.06282652377762893,1.0,5.0,🔥 90+,0.03223640026863667,8.118,8.1307,-0.013,steady,12:47:25,2026-07-06 12:47:25
XENE,61.2,60.96,0.0039,0.6547,2233890,4,0.9264,1.9455,0.0319,90.5,yf_premarket,0.06574217259454139,0.9264,0.04099129269926322,0.8,5.0,🔥 90+,0.026192075218267292,7.8112,,,new,12:47:25,2026-07-06 12:47:25
AVAH,9.35,9.1,0.0275,0.8922,2855650,3,0.8761,0.3325,0.0365,96.1,yf_premarket,0.08959090635229851,0.8761,0.047153382451440046,0.6,5.0,🔥 90+,0.18468770987239758,7.7872,7.8255,-0.038,steady,12:47:25,2026-07-06 12:47:25
CON,31.92,31.91,0.0003,0.9764,1301260,3,0.9948,0.789,0.0247,90.1,yf_premarket,0.0980459100676802,0.9948,0.03134628265237776,0.6,5.0,🔥 90+,0.0020147750167897917,7.7554,7.9277,-0.172,steady,12:47:25,2026-07-06 12:47:25
BLZE,15.61,15.62,-0.0006,0.3454,8693640,4,0.8889,1.482,0.0949,90.7,yf_premarket,0.03468359006286024,0.8889,0.12538513060951104,0.8,5.0,🔥 90+,0.0,7.6925,7.7265,-0.034,steady,12:47:25,2026-07-06 12:47:25
BCAX,29.0,29.0,0.0,0.6261,1476000,4,0.8764,1.6007,0.0552,90.5,yf_premarket,0.06287028297150202,0.8764,0.07220361687876757,0.8,5.0,🔥 90+,0.0,7.6832,7.7028,-0.02,steady,12:47:25,2026-07-06 12:47:25
GLUE,24.15,24.21,-0.0025,0.6059,2296660,4,0.8619,1.6596,0.0686,91.2,yf_premarket,0.060841885405579096,0.8619,0.09015405224380442,0.8,5.0,🔥 90+,0.0,7.6601,,,new,12:47:25,2026-07-06 12:47:25
AGIO,37.88,37.58,0.008,0.5781,1368610,3,0.8361,1.419,0.0378,90.5,yf_premarket,0.05805032835940794,0.8361,0.04889484259879437,0.6,5.0,🔥 90+,0.053727333781061114,7.4643,7.397,0.067,steady,12:47:25,2026-07-06 12:47:25
CXW,33.45,31.03,0.078,0.4804,1653310,4,0.832,1.204,0.0388,84.9,yf_premarket,0.04823971240937481,0.832,0.05023442732752846,0.8,4.0,strong ✓,0.5238415043653458,7.3472,6.5751,0.772,rising,12:47:25,2026-07-06 12:47:25
CRNX,42.7256,42.23,0.0117,1.2682,1716370,5,0.9754,1.7625,0.0417,85.4,yf_premarket,0.12734721748036873,0.9754,0.054119223040857325,1.0,4.0,strong ✓,0.07857622565480188,7.2867,7.3871,-0.1,steady,12:47:25,2026-07-06 12:47:25
ALOT,28.59,28.51,0.0028,0.5373,225580,4,0.6786,0.091,0.0032,95.7,yf_premarket,0.053953366939127986,0.6786,0.002545210984594776,0.8,5.0,🔥 90+,0.01880456682337139,7.2676,7.2401,0.027,steady,12:47:25,2026-07-06 12:47:25
ACRS,5.71,5.56,0.027,0.6687,2905380,5,0.9019,0.3155,0.0567,87.4,yf_premarket,0.0671479926897355,0.9019,0.07421299397186872,1.0,4.0,strong ✓,0.18132975151108124,7.2136,6.9783,0.235,steady,12:47:25,2026-07-06 12:47:25
ACIW,55.15,54.88,0.0049,0.9439,1304280,5,0.9944,1.925,0.0351,81.7,yf_premarket,0.09478239913240816,0.9944,0.04527796383121232,1.0,4.0,strong ✓,0.03290799194089993,7.203,7.2062,-0.003,steady,12:47:25,2026-07-06 12:47:25
EDIT,3.5943,3.65,-0.0153,1.2629,3326130,5,0.9731,0.2511,0.0688,85.8,yf_premarket,0.12681501415861665,0.9731,0.09042196918955124,1.0,4.0,strong ✓,0.0,7.1816,7.2062,-0.025,steady,12:47:25,2026-07-06 12:47:25
FHTX,5.18,5.3,-0.0226,1.1919,337020,5,0.9706,0.3015,0.0569,83.0,yf_premarket,0.11968549796156085,0.9706,0.07448091091761552,1.0,4.0,strong ✓,0.0,7.158,,,new,12:47:25,2026-07-06 12:47:25
IMNM,23.0,23.61,-0.0258,0.8063,2318190,5,0.9893,1.1508,0.0487,88.1,yf_premarket,0.08096519591107183,0.9893,0.06349631614199597,1.0,4.0,strong ✓,0.0,7.1318,,,new,12:47:25,2026-07-06 12:47:25
SLDB,10.84,10.84,-0.0,0.6502,4047960,5,0.9897,0.7396,0.0682,84.8,yf_premarket,0.06529030184965758,0.9897,0.08961821835231078,1.0,4.0,strong ✓,-0.0,7.1221,,,new,12:47:25,2026-07-06 12:47:25
