ticker,score,score_raw,score_scale,gap_available,premarket_price,prev_close,premarket_source,avg_dollar_vol_10d,rsi,gap_pct,rvol,premarket_rvol,trend_5d,breakout_score,volatility_score
AMLX,8.7879,6.1515,1.4286,False,35.11,35.11,prev_close_fallback,160701281.59,84.3,0.0,5.239213647128737,0.0,2,0.7796327637291692,0.0662403861155887
NTWO,8.6431,6.0502,1.4286,False,11.65,11.65,prev_close_fallback,14391943.53,84.8,0.0,9.08658204895739,0.0,1,0.6573422236212406,0.01545063773390603
SZZL,8.0842,5.6589,1.4286,False,10.425,10.425,prev_close_fallback,1037287.52,85.0,0.0,3.2321608040201006,0.0,3,0.6428610354223433,0.0013812954510422036
HTFL,7.8884,5.5219,1.4286,False,45.23,45.23,prev_close_fallback,121059450.67,96.0,0.0,1.5578753087019388,0.0,4,0.9018450654753174,0.05698430340194587
CDTG,7.8605,5.5024,1.4286,False,3.29,3.29,prev_close_fallback,27581056.68,80.3,0.0,4.469111209189698,0.0,4,0.2900136970013774,0.47294832476524107
FDMT,7.8486,5.494,1.4286,False,14.72,14.72,prev_close_fallback,17204736.31,95.8,0.0,1.9850273785078714,0.0,4,0.6711309597724011,0.07343070529332645
BRBS,7.7071,5.395,1.4286,False,3.96,3.96,prev_close_fallback,5610924.05,80.3,0.0,2.8245465452748957,0.0,1,0.7721516389608336,0.023676770878061904
DSGN,7.676,5.3732,1.4286,False,15.27,15.27,prev_close_fallback,7447942.72,93.9,0.0,1.8821117375704768,0.0,4,0.67432943191717,0.04039947898281737
HAE,7.6171,5.332,1.4286,False,104.65,104.65,prev_close_fallback,100993530.47,81.9,0.0,2.388452531448822,0.0,3,0.8608601832709177,0.03311991928078833
REAX,7.5804,5.3063,1.4286,False,2.65,2.65,prev_close_fallback,17022752.61,96.0,0.0,1.213307636744047,0.0,4,0.8596492548948746,0.07483019199622562
MNTN,7.5411,5.2788,1.4286,False,12.5,12.5,prev_close_fallback,16373750.0,94.8,0.0,1.4512558210550424,0.0,4,0.7626112113050878,0.053656005859375
KURA,7.5083,5.2558,1.4286,False,12.33,12.33,prev_close_fallback,27059171.23,86.9,0.0,1.8622697737152438,0.0,5,0.8475936551584858,0.04915654351299588
SPRB,7.5023,5.2516,1.4286,False,52.845,52.845,prev_close_fallback,2362700.0,91.6,0.0,1.596958174904943,0.0,4,0.7898186827068502,0.05346768209052191
HBB,7.4293,5.2005,1.4286,False,33.85,33.85,prev_close_fallback,4116498.31,96.2,0.0,0.795987172107557,0.0,3,0.9565263555354482,0.050774006054381246
UGI,7.4221,5.1955,1.4286,False,38.39,38.39,prev_close_fallback,120835978.18,61.1,0.0,4.207409478362811,0.0,4,0.7507738640054327,0.03276896547475344
CRNX,7.3718,5.1603,1.4286,False,84.72,84.72,prev_close_fallback,183782251.45,83.1,0.0,1.8309677359873506,0.0,2,0.9197891507278543,0.0027360636575345675
RCMT,7.3642,5.1549,1.4286,False,41.05,41.05,prev_close_fallback,4696940.91,85.8,0.0,1.588883062401678,0.0,4,0.9280522047965659,0.0410962315715503
EJH,7.3589,5.1512,1.4286,False,2.06,2.06,prev_close_fallback,4448672.88,61.0,0.0,9.458451992313213,0.0,3,0.7131146435710725,0.1316019495233133
WEAV,7.3323,5.1326,1.4286,False,7.28,7.28,prev_close_fallback,52955303.93,53.6,0.0,6.787552515232167,0.0,5,0.9868668488130959,0.04107143734369747
CAST,7.3047,5.1133,1.4286,False,2.1,2.1,prev_close_fallback,43412836.03,57.5,0.0,7.451963403083669,0.0,1,0.8141024502130274,0.17904762104795643
CCC,7.2971,5.108,1.4286,False,7.14,7.14,prev_close_fallback,78261538.54,78.4,0.0,2.6914241401331993,0.0,3,0.6275861842170168,0.05609241959132918
DUOT,7.2745,5.0921,1.4286,False,11.59,11.59,prev_close_fallback,20621275.97,69.6,0.0,3.198518460232797,0.0,3,0.7102804092332614,0.07429680714121852
FCUV,7.2559,5.0791,1.4286,False,7.795,7.795,prev_close_fallback,1896055.82,64.9,0.0,3.9911198815984212,0.0,5,0.48831390692838844,0.19253366610999983
PAYS,7.2319,5.0623,1.4286,False,13.52,13.52,prev_close_fallback,12886588.44,94.9,0.0,0.7753239259298117,0.0,4,0.8797815304024089,0.05702662557026477
SENS,7.219,5.0533,1.4286,False,8.69,8.69,prev_close_fallback,9199494.26,90.2,0.0,1.1325959022510226,0.0,4,0.8774509637780187,0.07812427946280368
WBD,7.2112,5.0478,1.4286,False,28.48,28.48,prev_close_fallback,572040157.21,86.4,0.0,1.3413337263164602,0.0,4,0.9199996948242187,0.015625002930003653
RCEL,7.1861,5.0303,1.4286,False,9.85,9.85,prev_close_fallback,12939847.0,89.6,0.0,1.0860248612686403,0.0,3,0.9040404563411836,0.10040610064952481
RMAX,7.1703,5.0192,1.4286,False,13.61,13.61,prev_close_fallback,10349860.34,98.1,0.0,0.5282329116587329,0.0,5,0.8299999237060547,0.06216017818925061
IBIO,7.1449,5.0015,1.4286,False,1.45,1.45,prev_close_fallback,1097157.04,65.1,0.0,3.6936008246768695,0.0,3,0.5500002682209975,0.05310344521412537
PBAM,7.1442,5.001,1.4286,False,87.33,87.33,prev_close_fallback,2020816.24,87.6,0.0,1.5254969749351772,0.0,3,0.7358503603087456,0.008656815985437667
NPK,7.1323,4.9926,1.4286,False,147.26,147.26,prev_close_fallback,12515626.93,88.9,0.0,1.0342393222732087,0.0,4,0.9187894529674463,0.025573808100048587
BWMN,7.1276,4.9893,1.4286,False,42.53,42.53,prev_close_fallback,36389942.86,94.6,0.0,0.4241319261830464,0.0,4,0.9930445387351606,0.007552311493136954
PRPO,7.1117,4.9782,1.4286,False,24.69,24.69,prev_close_fallback,3606962.18,83.5,0.0,2.268464645081799,0.0,5,0.5039247360927505,0.07978940523092476
CBLL,7.1013,4.9709,1.4286,False,24.21,24.21,prev_close_fallback,13927286.17,93.3,0.0,0.7825890451440193,0.0,4,0.8459421225981707,0.04947955615262949
KIDS,7.0979,4.9685,1.4286,False,25.5,25.5,prev_close_fallback,6192675.0,94.9,0.0,0.8494955733992177,0.0,3,0.7479168173339872,0.037501952227424175
INO,7.0799,4.9559,1.4286,False,1.2,1.2,prev_close_fallback,7070256.28,93.2,0.0,0.8053626346768773,0.0,5,0.8235294220769271,0.085
VREX,7.0774,4.9542,1.4286,False,18.46,18.46,prev_close_fallback,44780634.98,96.2,0.0,0.2648588930753312,0.0,1,0.9742424104496127,0.007963160272261115
HZO,7.0718,4.9502,1.4286,False,52.18,52.18,prev_close_fallback,80149524.07,93.4,0.0,0.4597596385463731,0.0,2,0.9862543547383992,0.01272517350731511
CXAI,7.0616,4.9431,1.4286,False,4.26,4.26,prev_close_fallback,37846012.43,98.5,0.0,0.2666579619182264,0.0,3,0.8704825838682632,0.0388967111236141
ECOR,7.0375,4.9262,1.4286,False,10.27,10.27,prev_close_fallback,1151267.05,96.1,0.0,0.42105263157894735,0.0,5,0.8713450618540507,0.1020739908231834
OCUL,7.0352,4.9246,1.4286,False,11.01,11.01,prev_close_fallback,37761878.59,86.9,0.0,1.3361206841255124,0.0,3,0.7814372727885321,0.04780200162462444
GMAB,6.9944,4.8961,1.4286,False,32.96,32.96,prev_close_fallback,110533004.93,92.7,0.0,0.8071744867379345,0.0,4,0.7856514702932643,0.022906569080164894
ABOS,6.983,4.8881,1.4286,False,2.74,2.74,prev_close_fallback,1010073.6,98.1,0.0,0.8393012152777778,0.0,4,0.5425531483171454,0.06091240527538521
DXYZ,6.9788,4.8852,1.4286,False,33.15,33.15,prev_close_fallback,52335896.41,86.8,0.0,1.0290987863893182,0.0,4,0.9006212168240666,0.06983409462335993
BETA,6.9704,4.8793,1.4286,False,26.76,26.76,prev_close_fallback,59561605.71,82.5,0.0,1.3566091734545798,0.0,3,0.9025111074172473,0.07054559792706273
MKTX,6.9681,4.8776,1.4286,False,161.79,161.79,prev_close_fallback,179188906.06,98.2,0.0,1.2481716235982447,0.0,1,0.32589167763273286,0.001520532353507398
ABCL,6.9562,4.8693,1.4286,False,11.12,11.12,prev_close_fallback,171029156.64,94.0,0.0,0.5332658878358838,0.0,3,0.8422664969233413,0.0922302128657699
CLB,6.9449,4.8615,1.4286,False,12.52,12.52,prev_close_fallback,6667526.24,88.2,0.0,1.0164303821237441,0.0,3,0.8244377874253724,0.03737458570216263
WHD,6.915,4.8405,1.4286,False,73.13,73.13,prev_close_fallback,53415612.59,90.2,0.0,0.7127406149886367,0.0,3,0.877348347893953,0.023560798076637184
